品牌,新车价格,里程(万公里),价格,
日产,13.59,2.97,7.86,
现代,16.04,3.08,7.86,
荣威,15.93,5.87,7.98,
吉利汽车,12.51,1.07,8.18,
哈弗,13.5,1.54,8.88,
日产,19.14,2.32,9.28,
广汽传祺,14.63,3.48,9.56,
大众,18.37,2.43,9.58,
丰田,15.49,0.64,9.66,
本田,15.17,3.94,9.69,
大众,18.25,2.33,10.09,
本田,15.17,0.61,10.43,
大众,24.68,7.43,12.45,
奥迪,25.16,0.73,15.38,
大众,27.33,0.64,16.19,
本田,30.96,9.13,18.48,
凯迪拉克,33.06,0.72,20.38,
宝马,47.59,4.35,28.78,
奔驰,48.03,5.31,30.48,
宝马,52.14,4.13,31.76,
宝马,56.14,2.23,39.76,
福特,15.16,3.58,6.96,
大众,16.72,7.18,8.11,
广汽传祺,15.05,5.95,8.45,
欧拉,13.06,2.84,8.78,
大众,17.41,5.48,9.08,
别克,25.89,4.62,9.26,
斯柯达,25.88,8.94,9.38,
长安,15.28,2.49,9.58,
日产,21.24,5.29,10.96,
大众,17.64,4.65,11.55,
比亚迪,18.81,1.45,12.98,
丰田,22.57,5.47,13.92,
大众,20.55,1.29,13.95,
MINI,22.56,2.79,15.38,
大众,34.33,0.3,24.88,
长安,5.33,2.88,1.63,
荣威,5.53,1.31,3.28,
哈弗,12.51,2.19,7.48,
本田,15.94,5.93,8.18,
吉利汽车,11.51,7.77,4.98,
长安,12.07,6.33,7.28,
魏牌,17.06,6.86,7.38,
五菱汽车,11.51,3.02,7.51,
长安,15.95,6.61,8.26,
奇瑞,15.62,4.6,8.98,
日产,21.13,4.99,9.09,
大众,20.92,4.04,9.16,
长安,15.06,1.98,9.78,
哈弗,15.62,1.92,10.58,
别克,29.22,6.72,11.68,
别克,22.58,4.72,11.88,
福特,30.3,7.29,12.68,
北京,20.36,1.39,13.49,
本田,23.01,5.11,14.58,
大众,26.78,6.87,14.88,
大众,25.81,6.78,14.93,
大众,26.78,5.14,14.98,
本田,27.76,5.11,16.88,
奥迪,49.74,8.12,24.03,
福特,40.31,6.67,26.98,
奥迪,48.48,5.05,29.98,
荣威,10.41,5.69,3.95,
现代,10.08,7.26,4.18,
东风风神,14.82,4.97,4.58,
福特,10.4,7.14,5.08,
雪佛兰,12.83,4.05,5.38,
现代,22.01,5.9,5.6,
哈弗,12.97,5.86,5.68,
雪佛兰,14.06,5.42,5.88,
吉利汽车,8.52,1.26,6.28,
雪佛兰,17.05,5.91,6.88,
雪佛兰,17.6,7.47,7.58,
吉利汽车,13.73,4.42,7.78,
日产,13.95,5.18,7.79,
吉利汽车,11.18,2.83,7.88,
哈弗,11.41,1.18,8.18,
斯柯达,14.84,1.63,8.18,
大众,14.28,3.94,8.18,
长安,14.17,4.92,8.18,
日产,17.93,5.56,8.48,
本田,15.82,2.84,8.58,
大众,16.72,5.16,8.88,
丰田,16.93,1.84,8.98,
红旗,28.1,4.02,9.08,
本田,15.94,7.26,9.12,
福特,21.79,4.4,9.98,
别克,20.69,3.99,10.08,
雪佛兰,22.03,5.77,10.08,
雪佛兰,20.92,3.04,10.88,
大众,28.11,7.29,11.99,
哈弗,18.38,4.29,12.28,
红旗,25.56,3.01,12.88,
别克,22.23,1.28,12.98,
广汽传祺,21.79,5.13,16.58,
丰田,37,2.99,26.98,
长城,9.09,8.47,1.98,
别克,14.84,1.21,8.06,
丰田,27.04,4.46,17.68,
本田,10.29,5.15,5.16,
广汽传祺,10.84,2.06,5.49,
丰田,9.96,5.9,5.78,
MINI,31.21,11.28,5.98,
雪佛兰,23.68,9.89,6.06,
福特,22.56,9.83,6.68,
吉利汽车,14.71,4.65,6.98,
广汽传祺,15.05,5.7,8.08,
大众,17.41,4.02,8.28,
现代,12.95,1.09,8.48,
本田,17.04,6.63,8.86,
大众,25.12,8.07,9.13,
比亚迪,19.79,1.54,13.38,
丰田,29.03,4.75,15.68,
本田,21.79,1.29,16.78,
开瑞,7.43,7.46,2.78,
大众,11.41,9.63,4.41,
名爵,10.96,5.04,4.59,
广汽传祺,10.29,5.16,5.11,
Jeep,20.35,10.43,6.48,
现代,20.36,8.18,6.83,
大众,17.05,7.14,7.03,
大众,15.94,4.09,7.08,
长安,13.94,4.17,7.28,
长安,13.07,3.04,7.99,
丰田,14.6,3.77,8.36,
本田,17.04,5.76,8.58,
长安,15.95,5.46,8.98,
丰田,17.6,4.63,9.16,
荣威,14.94,2.54,9.18,
大众,19.36,5.92,9.38,
吉利汽车,15.82,1.54,9.88,
现代,19.14,1.37,10.78,
马自达,24.49,5.18,11.08,
别克,24.67,4.5,12.85,
吉利汽车,18.52,2.08,14.48,
丰田,23.68,4.98,15.41,
奔驰,34.87,3.87,19.48,
吉利汽车,10.4,8.15,3.46,
起亚,10.3,4.22,5.78,
丰田,17.26,9.19,4.88,
五菱汽车,11.51,2.69,7.38,
哈弗,15.63,3.11,7.98,
哈弗,12.51,2.05,8.22,
五菱汽车,13.39,2.57,8.26,
起亚,20.13,2.29,11.38,
哈弗,18.81,1.17,11.88,
奥迪,29.84,6.55,13.38,
领克,20.03,1.95,13.88,
极氪,23.66,1.61,16.98,
大众,25.57,0.55,18.88,
路虎,43.72,3.38,21.18,
别克,42.49,3.51,28.8,
宝马,47.71,3.29,29.58,
福特,13.73,9.09,2.78,
别克,10.63,4.96,3.88,
五菱汽车,5.44,5.93,4.08,
东风风行,10.42,7.63,4.38,
广汽传祺,14.16,4.24,4.98,
本田,9.52,6.29,5.15,
别克,17.71,7.17,5.71,
大众,17.92,5.86,5.88,
别克,14.39,3.06,6.28,
丰田,9.96,0.67,7.08,
比亚迪,12.93,4.78,7.48,
别克,25.9,7.37,7.55,
哈弗,12.06,1.29,8.18,
广汽传祺,15.05,4.41,8.28,
广汽传祺,13.72,4.93,8.28,
大众,19.36,3.19,9.78,
领克,18.92,6.47,10.18,
日产,19.14,3.8,10.68,
标致,19.24,3.07,10.98,
大众,17.04,3.08,11.68,
日产,30.52,6.88,12.08,
长安,19.26,2.94,12.69,
别克,22.58,4.61,12.78,
本田,23.67,7.69,13.38,
林肯,29.2,3.66,17.78,
福特,11.3,7.6,2.38,
雪铁龙,14.6,5.94,4.38,
领克,15.8,1.18,8.98,
荣威,14.62,0.92,9.48,
雪佛兰,12.85,6.89,5.89,
哈弗,16.71,8.66,6.33,
魏牌,15.93,4.44,7.08,
本田,27.04,11.59,7.36,
哈弗,14.74,5.56,7.49,
长安,13.07,4.3,7.69,
大众,16.83,4.57,8.88,
本田,16.61,3.31,9.18,
别克,27,4.83,11.28,
凯迪拉克,30.75,5.74,12.32,
吉利汽车,19.08,1.52,13.48,
宝马,38.08,5.47,16.28,
福特,23.35,2.48,16.98,
坦克,24.8,2.57,18.93,
宝马,34.77,2.11,19.98,
宝马,38.87,5.92,23.38,
福特,10.41,5.6,2.2,
海马,11.51,5.11,2.93,
五菱汽车,6.29,0.69,3.68,
长安,6.53,0.6,4.08,
别克,23.02,5.6,4.08,
起亚,10.3,5.76,4.63,
铃木,15.38,9.6,4.71,
吉利汽车,8.2,2.84,5.08,
丰田,14.27,8.25,5.66,
别克,14.39,0.47,7.56,
宝马,22.56,6.11,8.38,
比亚迪,14.6,3.15,9.06,
哈弗,14.73,0.81,9.58,
比亚迪,13.38,0.94,9.89,
哈弗,14.73,1.13,10.26,
大众,18.37,5.15,10.38,
丰田,22.24,4.54,11.96,
本田,24.78,4.29,13.28,
本田,21.79,2.91,13.55,
别克,29.22,3.88,16.18,
宝马,39.62,1.28,20.28,
本田,32.06,2.56,23.68,
凯迪拉克,42.83,0.77,26.68,
吉利汽车,8.53,6.19,3.72,
埃安,16.78,3.08,9.61,
本田,26.66,1.85,13.18,
MINI,25.66,4.03,14.38,
众泰,8.2,5.64,2.36,
吉利汽车,11.62,6.12,4.98,
丰田,10.18,7.77,4.98,
哈弗,12.97,4.72,5.51,
别克,18.48,6.78,5.98,
哈弗,16.07,7.64,6.68,
哈弗,13.3,2.92,6.78,
大众,12.96,1.06,6.98,
吉利汽车,12.51,3.93,6.98,
荣威,13.61,2.31,7.48,
长安,14.17,1.56,8.68,
比亚迪,15.71,1.5,9.38,
荣威,20.25,2.51,10.38,
奥迪,35.1,8.31,11.38,
凯迪拉克,31.4,3.39,16.89,
宝马,48.81,4.35,31.68,
奥迪,46.93,2.38,31.98,
五菱汽车,7.1,4.58,3.05,
宝骏,8.2,8.57,3.31,
现代,5.99,0.81,3.68,
东风风神,9.75,1.86,6.28,
长安,10.41,3.43,6.28,
雪佛兰,17.05,5.07,6.56,
大众,12.63,1.69,6.71,
Jeep,20.35,6.39,7.08,
本田,15.95,4.98,8.18,
领克,18.81,5.19,9.81,
