品牌,新车价格,里程(万公里),价格,
广汽传祺,15.6,8.33,7,
现代,9.86,2.64,7.5,
smart,14.13,4.26,7.58,
起亚,13.61,5.97,7.6,
陆风,11.52,0.01,8.08,
哈弗,13.52,1,10.68,
斯柯达,22.57,5.27,11.48,
长安,9.42,5.31,3.5,
大众,16.49,1.89,9.8,
大众,20.57,7.51,10.38,
大众,82.5,17,9.7,
特斯拉,73.57,9.39,15.88,
标致,15.97,3.4,7.68,
宝马,34.5,7.3,10.98,
英菲尼迪,30.48,3,14.68,
现代,17.68,13,4.88,
起亚,19.28,13,3.78,
路虎,37.58,1.62,21.5,
宝马,45.96,10.6,11.3,
大众,71.88,8.9,26.99,
宝马,55.9,7.9,14.18,
广汽传祺,9.68,6.2,4.48,
比亚迪,18.69,5.63,7.88,
本田,22.98,4.96,7.98,
东风风光,10.1,2.93,4.78,
大众,25.98,11.82,10.26,
日产,22.48,19,3.28,
雪佛兰,16.49,4.3,7.28,
雪佛兰,12.19,8.55,3.88,
路虎,38.28,4.1,18.5,
路虎,39.48,13,12.68,
现代,17.99,3.33,9.58,
长城,6.89,7.73,2.11,
宝马,49.96,8.6,15.35,
荣威,28.88,3.22,2.99,
理想汽车,32.8,3,19.6,
宝马,46.66,11,16.5,
起亚,17.08,8.61,5.38,
大众,26.68,1.98,17.3,
福特,19.28,1.2,11.68,
红旗,16.28,4.65,8.68,
奔驰,23.88,9.9,9.78,
福特,13.98,4,6.88,
大众,15.49,9,6.98,
捷豹,29.98,3,18.5,
本田,11.98,1.4,7.38,
奥迪,21.97,8.1,9.98,
宝马,30.38,3.47,17.58,
丰田,13.58,2.2,7.9,
雪铁龙,9.58,7.27,3.98,
Jeep,28.98,2.9,16.98,
本田,21.98,11,8.38,
小鹏汽车,38.69,1.4,21.36,
现代,17.99,4.68,9.18,
奥迪,30.7,12,11.98,
大众,18.59,3.3,11.88,
奔驰,32.58,10.6,12.8,
大众,13.9,7.56,7.26,
日产,10.98,8,3.98,
起亚,8.59,5.09,4.88,
保时捷,55,5,26.8,
日产,15.38,6.9,6.88,
Jeep,65.99,19,21.6,
奔驰,42.8,10.9,17.68,
长安,16.99,2,11.28,
奥迪,29.28,0.5,19.58,
荣威,11.88,4.95,6.48,
MINI,27.38,2.7,13.88,
三菱,19.88,3.3,10.88,
长安,11.59,3,7.78,
极氪,34.9,0.24,23.58,
宝马,44.99,7.3,22.98,
特斯拉,29.18,6.76,14.88,
比亚迪,12.18,0.5,8.28,
比亚迪,14.49,7.15,8.68,
宝马,47.98,4.9,26.9,
本田,13.88,5,8.38,
大众,13.9,4.82,7.81,
雷克萨斯,40.1,8.4,17.68,
领克,21.28,4.37,12.88,
奔驰,21.18,1.3,13.8,
奔驰,34.68,5.8,21.08,
领克,16.28,3.55,11.26,
宝马,46.39,7,26.38,
奔驰,34.68,3.2,23.98,
马自达,18.98,7.12,9.98,
广汽传祺,8.88,2.82,5.81,
本田,24.58,9.9,12.98,
本田,12.79,9,6.8,
荣威,27.18,4.4,5.48,
北京汽车,6.98,2.28,3.43,
本田,22,14.6,9.98,
江汽集团,15.88,4,3.28,
宝沃,18.98,4.5,4.7,
奔驰,34.68,5.7,21.68,
斯柯达,13.99,5.47,8.18,
奔驰,130.68,2.6,76.8,
奥迪,47.5,7.2,25.99,
丰田,11.38,3.3,7.68,
宝马,62.89,2.85,42.6,
宝马,50.95,1,34.8,
大众,31.99,2.2,20.58,
丰田,20.18,8,11.27,
吉利汽车,11.96,3.88,8.18,
北京,34.8,4.2,20.98,
斯柯达,18.98,11.77,8.38,
奔驰,125.88,2.8,91.8,
名爵,12.68,9,0.9,
威马汽车,20.73,5,5.78,
比亚迪,27.98,4.94,4.36,
捷豹,78.78,3.7,28.48,
宝骏,8.18,4.3,4.98,
奥迪,33.7,2.16,19.2,
吉利汽车,9.98,2.02,7.38,
奔驰,46.58,6.9,28.68,
沃尔沃,49.99,3.9,26.8,
路虎,74.28,7,45.8,
日产,25.4,5.2,6.28,
丰田,33.08,5.03,17.8,
沃尔沃,32.29,9.3,4.08,
纳智捷,16.68,11,2.08,
奔驰,35.68,4.53,23.6,
哈弗,8.2,5,5.08,
奥迪,41.58,3.5,25.8,
别克,25.09,11.8,2.18,
纳智捷,22.68,11.6,1.98,
大众,26.79,5,17.88,
大众,15.58,5.09,8.46,
荣威,18.38,7.5,0.86,
别克,14.99,8.6,1.38,
奔驰,34.68,5.6,20.38,
宝马,49.9,21,8.68,
奔驰,92.68,10,54.48,
标致,11.39,6.8,2,
别克,27.59,8.5,2.56,
本田,13.78,6.01,7.53,
奥迪,42.45,11,2.3,
凯迪拉克,29.97,4.3,18.88,
路虎,90.48,9.62,53.3,
福特,13.98,8.8,0.76,
比亚迪,21.98,2.7,3.98,
马自达,17.98,9.2,1.75,
奔驰,26.48,5.9,12.5,
别克,24.89,9,1.45,
雪佛兰,14.89,10,0.86,
丰田,19.98,1.72,13.6,
别克,20.39,9.88,2.17,
奔驰,39.8,15,2.58,
路虎,64.8,12.8,4.25,
奥迪,34.38,1.4,23.5,
马自达,19.98,4.34,13.68,
奥迪,76.08,4.5,24,
宝骏,6.58,3.7,0.98,
丰田,8.78,7.34,4.58,
雪佛兰,11.49,1.25,4.1,
标致,22.07,7.2,4.3,
斯柯达,20.59,9.1,1.45,
菲亚特,12.28,9.3,1.38,
林肯,34.68,6.4,10.98,
别克,11.89,5.8,3.8,
林肯,119.8,20,8.8,
雪佛兰,11.99,9,1.36,
Jeep,22.19,9.8,2.58,
马自达,17.98,9.1,1.38,
大众,28.68,9.2,3.38,
奔驰,63.78,2.69,46.98,
本田,27.58,8.8,16.9,
奥迪,45.18,1,33.18,
奔驰,39.5,11.3,3.08,
奥迪,31.88,5.9,20.9,
奥迪,44.38,3.46,30.98,
蔚来,36.8,3.6,14.98,
凯迪拉克,31.99,7,13.1,
吉利汽车,13.98,5.8,3.98,
荣威,20.18,12.2,3.28,
长安,16.99,4.86,11.19,
荣威,22.38,7.9,4.58,
比亚迪,15.78,0.86,11.68,
沃尔沃,67.86,19,2.85,
大众,21.58,9.8,2.68,
长安,12.99,1.7,9.68,
宝马,42.58,6,24.68,
宝马,40.8,10,3.58,
长安欧尚,8.89,1.3,4.08,
标致,23.43,7.9,3.98,
长安欧尚,8.89,1.23,4.08,
大众,19.38,11,2.48,
奔驰,34.68,5,21.58,
凯迪拉克,29.38,4.7,8.58,
铃木,10.88,15,0.98,
奔腾,10.59,2.8,4.18,
雷克萨斯,39.98,15,4.18,
雪佛兰,18.19,13,2.69,
奔驰,42.28,4,28.88,
奔驰,31.88,4.45,21.8,
沃尔沃,42.98,11.7,2.8,
大众,26.38,17.4,1.78,
本田,26.48,11,2.88,
雪佛兰,11.99,5.6,3.79,
本田,26.68,16,12.8,
雪佛兰,20.99,11,4.86,
长安,11.29,2.3,4.5,
本田,14.08,2.36,9.68,
荣威,13.98,12.6,1.52,
比亚迪,25.13,8.5,4.88,
奔驰,31.5,12.7,4.8,
大众,28.48,10.3,3.2,
本田,24.18,16,1.68,
奥迪,41.58,4.39,28.68,
大众,70.46,12.8,7.8,
捷豹,55,13.5,8.48,
宝马,63.09,0.75,48.8,
福特,29.98,5.3,10.88,
保时捷,88.8,17,6.58,
比亚迪,13.69,4.01,4.99,
奥迪,53.9,11,6.28,
别克,14.49,7.7,2.89,
广汽传祺,16.88,5.6,6.2,
奔驰,73.8,11,11.88,
日产,25.98,12,3.1,
凯迪拉克,49.8,13.05,3.85,
路虎,55.8,9,11.28,
宝马,42.69,4.53,31.58,
吉利汽车,7.98,5.1,1.3,
奔驰,56.29,2.77,46.3,
别克,24.98,1.2,12.3,
大众,25.18,11.2,3.1,
保时捷,58.8,5,38.8,
福特,10.98,14,1.8,
路虎,53.8,11,8.88,
福特,9.98,14,1.65,
福特,11.28,8.6,2.35,
长安欧尚,9.99,0.8,4.95,
奥迪,44.38,2.5,34.8,
别克,12.89,3,4.8,
保时捷,136.9,6.9,39.8,
奥迪,35.68,10.46,5.98,
福特,21.88,5.3,11.78,
宝马,52.3,10.8,8.9,
宝马,28.8,6.1,3.68,
奥迪,41.98,4.63,29.6,
雷克萨斯,29,3.9,22.88,
奔驰,74.8,12.6,12.8,
比亚迪,18.78,2.8,13.28,
奥迪,46.88,6.8,31.28,
三菱,12.98,10.6,1.68,
比亚迪,27.98,13,4.8,
名爵,11.58,2.9,5.38,
大众,23.68,12.8,2.2,
凯迪拉克,30.97,2.93,19.48,
哈弗,12.88,13.5,2.28,
别克,13.59,12.5,2.98,
雪佛兰,8.99,11,0.85,
大众,23.28,10.5,4.15,
宝马,34.2,12.8,3.28,
奥迪,62.76,17.8,11.3,
雷诺,27.68,14,2.68,
路虎,100.6,6,63.8,
大众,23.38,8.2,3.25,
红旗,14.68,3.2,6.28,
马自达,21.68,9.7,3.95,
丰田,15.98,11,2.28,
大众,21.88,7.5,5.8,
奔驰,69.8,14,6.95,
宝马,89.8,12.4,8.9,
奇瑞,8.99,4.3,2.75,
广汽传祺,21.98,8.4,13.98,
宝马,62.56,12,8.8,
奥迪,21.97,5.15,8.58,
宝马,39.38,4,13.8,
福特,39.68,8.5,12.55,
荣威,16.68,7.7,4.6,
雪佛兰,10.49,3.1,4.2,
理想汽车,34.98,2.1,22.68,
奥迪,47.09,13,14.98,
宝马,49.69,4.3,23.99,
众泰,9.88,11,1.5,
奔驰,43.99,5,33.98,
猎豹汽车,12.98,6.7,3.58,
雪佛兰,5.68,13,0.88,
奔驰,53.58,4.06,41.5,
日产,17.78,13.2,2.75,
北汽幻速,6.18,8.9,1.22,
铃木,11.88,10,1.85,
福特,10.98,15,1.71,
大众,91.56,7.98,21.8,
别克,15.99,8.9,2.48,
名爵,7.79,2.6,3.48,
雪佛兰,19.99,9.7,3.98,
陆风,9.98,14,1.58,
凯迪拉克,30.97,1.5,16.38,
奥迪,69.28,8.14,22.5,
宝马,68.86,13.3,13.98,
宝马,41.26,16.6,4.88,
比亚迪,10.99,10,1.78,
奥迪,41.98,2.6,30.99,
ARCFOX极狐,42.99,0.91,19.38,
奥迪,32.99,10.1,3.95,
雪佛兰,11.49,3.2,4.68,
日产,18.08,6.8,4.38,
别克,18.99,9,6.98,
奔驰,38.8,13.6,6.28,
海马,6.98,7.15,2.3,
东风风行,7.99,5.5,2.3,
日产,11.63,4.18,4.3,
标致,15.97,3.2,7.88,
起亚,18.88,9,3.88,
沃尔沃,39.19,4.2,19.3,
丰田,76.5,16,37.8,
海马,6.48,7.21,1.6,
蔚来,29.8,0.35,25.8,
大众,14.79,7.2,3.68,
宝马,30.6,11,7.58,
宝马,95.2,10.3,19.8,
丰田,15.98,6.8,3.96,
大众,11.98,8.5,1.98,
别克,32.8,14.6,5.5,
红旗,14.68,4.8,5.49,
别克,29.99,9.1,7.58,
奔腾,10.59,2.9,5.28,
大众,14.99,3.9,6.88,
奔驰,47.99,3.1,39.8,
大众,23.99,3.2,13.98,
铃木,10.88,8.6,2.28,
海马,7.48,7,1.88,
宝马,61,11,17.8,
宝马,43.69,9,21.8,
凯迪拉克,29.97,0.76,16.2,
保时捷,89.8,1.5,74.8,
名爵,7.79,3.3,3.58,
荣威,14.68,3.6,6.75,
特斯拉,26.39,1,21.98,
吉利汽车,13.87,1.8,7.55,
沃尔沃,24.98,3,11.58,
宝马,68.8,4.5,20.58,
宝马,50.19,4.2,37.8,
广汽传祺,13.38,9.2,3.98,
奥迪,88.6,15,11.88,
大众,11.98,7.8,2.08,
奔驰,82,17.1,7.58,
比亚迪,15.69,8,5.38,
吉利汽车,15.38,4.3,5.88,
宝马,74.69,0.89,37.8,
标致,16.17,9,4.2,
红旗,24.98,5.9,10.58,
魏牌,16.8,3.2,7.12,
奥迪,31.88,8.3,18.78,
别克,15.99,9.3,2.85,
北汽幻速,6.18,5.51,1.88,
红旗,14.68,3.82,5.68,
马自达,20.78,10,4.7,
奔驰,42.98,5.4,32.8,
长安,15.39,2.8,7.98,
奥迪,47.26,16,10.8,
东风风光,11.09,1.8,5.28,
大众,67.78,6.2,26.7,
宝马,33.98,3.2,14.8,
别克,12.59,4.3,5.5,
奇瑞,5.99,3.45,2.85,
奥迪,81.8,15,11.98,
斯巴鲁,27.98,7.8,7.58,
MINI,33.9,11.5,7.88,
金杯,9.28,5.4,3.68,
奔驰,36.9,7.4,11.6,
福特,12.68,8,4.5,
凯迪拉克,42.27,0.67,23.8,
吉利汽车,9.98,1.9,4.8,
MINI,27.6,8,7.58,
吉利汽车,13.87,3,6.7,
日产,13.98,19,1.56,
奥迪,19.46,3.37,10.38,
奔驰,26.98,14.35,8.8,
路虎,118.8,14,28.8,
日产,11.63,5.8,4.3,
奥迪,29.28,0.07,20.5,
奥迪,42.37,8.82,17.38,
奥迪,21.28,3.86,10.5,
大众,23.28,15,4.8,
凯迪拉克,29.38,8.4,10.92,
奥迪,31.88,4,19.8,
奥迪,21.88,2.6,10.9,
宝马,32.18,10.9,9.4,
日产,16.68,5.9,4.88,
丰田,12.68,5.3,5.28,
北汽幻速,6.28,10,1.58,
宝骏,7.98,1.6,3.98,
福特,18.98,9,6.35,
斯巴鲁,27.98,11.12,5.88,
斯柯达,13.69,11.05,5.18,
红旗,32.98,3.6,17.88,
奥迪,40.98,14.33,10.38,
林肯,26.18,9.55,9.88,
比亚迪,25.99,3.8,11.98,
宝马,53.2,11,11.38,
奥迪,23.39,10.6,7.88,
奥迪,23.27,4,9.8,
奔驰,47.9,10,14.28,
日产,19.68,6.8,6.68,
日产,10.98,8,3.28,
凯迪拉克,35.99,8,13.68,
福特,33.98,10.8,11.58,
别克,14.69,3.87,5.6,
斯柯达,16.49,33.83,1.58,
领克,15.38,5.9,7.18,
凯迪拉克,29.38,5.7,11.25,
奥迪,52.5,9,13.68,
奥迪,45.48,4.15,19.28,
沃尔沃,44.88,12,13.68,
别克,18.28,4.1,8.55,
开瑞,6.38,4.9,2.2,
现代,14.98,7,5.98,
奥迪,30.73,2.2,18.6,
奥迪,249.8,27,27.9,
别克,18.58,5.37,8.2,
长安,9.29,10,2.58,
宝马,49.96,13,13.98,
创维汽车,22.88,0.01,12.98,
宝骏,11.58,6.8,4.68,
奥迪,31.28,12,9.99,
领克,13.98,4.6,6.78,
哈弗,10.98,9,3.98,
现代,11.98,26.5,1.38,
丰田,13.98,6.2,6.2,
奥迪,33.58,2.2,16.28,
宝马,49.96,14,13.98,
马自达,12.8,13,1.98,
现代,11.98,13,1.88,
宝马,33.3,13.8,9.38,
欧拉,8.48,1.67,5.2,
MINI,29.6,10.5,8.38,
丰田,12.98,1.6,7.98,
宝马,31.68,10.5,12.98,
大众,25.54,1.24,15.68,
丰田,8.38,7,3.08,
大众,27.89,2.4,15.98,
大众,23.58,10,6.8,
奔驰,28.98,6.7,10.68,
奥迪,50.66,17,14.5,
奔驰,39.8,9,11.39,
宝马,55.06,12,15.88,
奥迪,89.7,9,21.98,
别克,18.28,3.08,7.5,
长安,13.89,1.7,8.58,
别克,12.59,4.5,5.68,
东风风行,10.99,7,4.98,
沃尔沃,52.79,0.82,30.5,
宝马,42.98,6,17.78,
大众,15.88,11.6,6.58,
奔驰,42.9,15.6,12.5,
大众,23.59,3.3,13.68,
奥迪,36.7,5.3,15.2,
宝马,22.58,9.1,9.38,
奥迪,58.58,2.85,26.88,
荣威,6.8,1.5,3.68,
大众,23.28,9.82,7.78,
奥迪,40.98,13,11.98,
宝马,32.59,10,13.58,
大众,12.49,5.8,4.7,
宝马,52.49,7.8,21.88,
宝马,32.59,4.06,13.58,
沃尔沃,24.98,3,12.5,
大众,71.88,3.2,44.8,
大众,18.88,6.6,9.4,
沃尔沃,33.98,0.48,19.78,
凯迪拉克,28.97,6,13.29,
丰田,13.98,15,2.98,
大众,27.89,3.3,16.28,
凯迪拉克,39.97,2.3,23.38,
比亚迪,10.98,4.73,5.5,
宝马,83.8,7,31.78,
路虎,158.8,10.8,66.5,
长安,10.89,2.6,6.35,
吉利汽车,7.89,3,3.95,
smart,13.8,10.2,2.95,
奥迪,28.73,3.1,16.9,
奔驰,49.2,11,20.8,
宝马,43.56,12.4,12.98,
大众,25.98,8,10.98,
沃尔沃,47.49,2.6,27.88,
本田,22.98,15,4.98,
丰田,12.98,1.3,8.18,
现代,14.98,7,6.38,
马自达,12.28,13.2,2.18,
凯迪拉克,29.88,9,8.98,
奥迪,43.16,12.3,12.98,
玛莎拉蒂,142.15,5.1,42.8,
哈弗,12.5,8,4.79,
大众,14.99,5.75,7.66,
大众,13.99,1.1,8.3,
大众,25.54,1.97,16.18,
奥迪,20.31,3.1,12.88,
哈弗,11.7,6.4,5.98,
奥迪,40.98,19,10.8,
奥迪,23.97,6.3,9.28,
路虎,84.8,9,32.8,
大众,19.19,0.86,11.38,
奥迪,21.98,7.3,9.38,
沃尔沃,26.48,0.68,14.68,
奥迪,36.28,5.49,18.58,
大众,27.98,3.4,16.68,
大众,15.99,8.3,6.88,
日产,18.68,7.1,9.58,
别克,16.29,12,4.98,
雪佛兰,12.79,8.5,1.28,
宝马,43.56,10.5,13.38,
大众,11.59,2.6,5.96,
英菲尼迪,37.98,9,16.38,
昊铂,24.59,0.59,14.68,
比亚迪,13.08,1.1,8.38,
大众,14.69,6,7.58,
路虎,42.28,4.9,21.8,
大众,29.39,0.62,17.58,
特斯拉,31.69,6.5,18.98,
宝马,47.98,3.8,22.8,
宝马,45.7,11.7,15.98,
丰田,22.78,13.6,5.18,
奥迪,18.92,6.5,8.98,
大众,19.18,4.7,7.58,
名爵,13.38,2.1,6.37,
现代,14.08,6.3,7.3,
领克,21.28,1.6,11.88,
奥迪,34.29,4.75,16.4,
宝马,42.1,8,14.88,
铃木,11.98,8.2,4.28,
现代,13.38,3.2,6.97,
奔驰,50.41,0.77,49.1,
奇瑞,11.48,6.9,5.98,
大众,13.99,3.1,7.88,
奥迪,69.28,5.95,21.8,
比亚迪,8.98,4.2,4.68,
领克,14.58,4.3,7.58,
日产,9.98,3.8,3.99,
凯迪拉克,29.38,9.1,10.56,
东风风光,10.1,4,4.88,
特斯拉,29.18,5.6,15.28,
宝骏,5.38,6.3,2.38,
宝马,35.39,0.01,19.99,
林肯,37.88,5.9,22.98,
丰田,21.18,3.9,15.48,
别克,17.99,9,1.28,
大众,27.98,4,16.98,
奥迪,23.66,5.41,12.38,
宝马,49.89,7.2,22.08,
沃尔沃,33.98,2.5,20.58,
别克,23.98,9.6,9.6,
大众,28.38,1,18.38,
日产,10.98,4.9,3.98,
名爵,8.98,9,3.98,
奥迪,37.18,6.4,22.68,
大众,15.98,5.7,7.9,
福特,12.78,10,1.58,
奔驰,30.38,2.6,18.8,
日产,12.53,7.5,4.68,
奔驰,35.38,8,13.19,
福特,19.28,4,10.38,
凯迪拉克,29.99,8,12.39,
昊铂,24.59,0.05,15.28,
日产,12.39,7.8,6.66,
奥迪,68.38,8.95,33.98,
奥迪,21.97,7,9.99,
别克,14.99,9,1.25,
宝马,46.66,14.3,13.58,
奥迪,27.18,5.15,14.6,
奥迪,22.98,0.2,14.3,
北京,18.48,7.2,9.98,
本田,22.98,11,7.68,
宝马,43.98,3.5,25.58,
奥迪,42.76,13,14.28,
大众,15.58,11,4.58,
马自达,17.98,9.3,1.58,
吉利汽车,9.18,8,4.58,
大众,13.5,5.4,7.28,
现代,11.98,5.6,5.98,
奥迪,24.38,0.01,15.25,
沃尔沃,40.29,6.69,18.58,
大众,24.21,0.4,16.18,
奔驰,54.88,14.5,16.28,
广汽传祺,12.8,0.8,8,
沃尔沃,33.98,0.48,21.27,
本田,20.68,12,6.98,
宝马,32.38,9.3,14.88,
启辰,13.58,6.1,5.68,
本田,29.38,14,9.88,
奔驰,28.7,7,12,
宝马,35.98,7.1,19.68,
哈弗,8.6,4.9,4.7,
奥迪,30.7,9.3,12.98,
雪佛兰,16.99,8.2,2.28,
奔驰,28.98,8,9.88,
欧拉,7.98,3.5,4.38,
大众,13.79,5,7.58,
五菱汽车,4.36,2.5,2.75,
吉利汽车,11.78,7.2,5.5,
保时捷,55,9,25.68,
宝马,29.89,0.67,18.88,
宝骏,9.08,4.3,4.98,
大众,21.99,2.5,12.98,
AUXUN傲旋,108,1.6,63.8,
宝马,35.39,1.5,20.88,
奔驰,34.68,7.1,21.88,
大众,15.89,1.93,10.68,
奔驰,39.6,13,16.8,
奔驰,88.1,0.01,55.5,
北京,20.99,4.1,11.58,
日产,11.53,16.2,3.99,
奔驰,32.58,9.63,12.6,
MINI,23.38,8.9,10.98,
大众,11.69,0.15,7.88,
宝马,42.58,6.74,23.88,
奔驰,31.8,13.6,11.28,
荣威,12.48,2.4,6.98,
日产,20.28,9.7,7.98,
保时捷,114.5,10.6,35.88,
大众,22.38,10,8.88,
奇瑞新能源,4.59,1.7,2.58,
宝马,43.99,0.18,26.58,
吉利几何,23.83,24.1,4.58,
荣威,14.98,4.8,7.8,
奔驰,48.58,11,21.3,
长安,9.39,0.9,6.05,
大众,23.59,5.2,13.28,
宝马,34.69,1.27,23.8,
奥迪,40.28,9.45,21,
江淮瑞风,9.98,8.2,4.78,
马自达,12.39,8.6,5.98,
吉利汽车,5.99,7,2.65,
宝马,61.2,1.7,57.3,
别克,14.69,4.6,4.68,
比亚迪,17.88,14,1.98,
大众,23.39,1.6,16.1,
大众,21.18,16.3,6.8,
日产,12.29,2,7.48,
丰田,20.28,3.7,10.68,
奔驰,43.99,2,37.68,
广汽传祺,21.98,7.8,14.28,
本田,13.78,14,3.28,
奔驰,35.38,9,14.39,
奔驰,196.8,3.1,95.98,
比亚迪,29.08,0.96,18.98,
丰田,7.98,10.9,2.58,
大众,22.98,3,15,
奥迪,34.27,1.07,19.58,
本田,18.98,14.8,7.68,
奔驰,35.08,4.1,19.98,
奥迪,18.92,4.08,10.8,
保时捷,55,8,26.9,
大众,21.18,9,2.48,
奥迪,32.71,0.7,19.98,
雪佛兰,10.09,0.85,6.58,
日产,7.98,7.5,2.9,
五菱汽车,5.98,6.1,2.68,
大众,8.59,12.5,2.8,
大众,8.79,3.8,4.68,
奥迪,43.88,8,21.58,
奔驰,35.08,4.7,18.68,
现代,13.99,5,6.88,
福特,39.98,7.3,14.68,
奇瑞,8.59,7,4.58,
吉利汽车,17.17,0.76,11.28,
奔驰,28.88,6,12.98,
奔驰,52.18,5,29.98,
大众,23.39,0.75,16.28,
宝马,32.59,13.1,11.98,
奔驰,39.98,3.3,22.98,
荣威,13.59,1.9,8.39,
日产,12.73,11,4.18,
奥迪,29.28,0.46,19.28,
现代,17.99,11,2.22,
大众,21.99,5.3,12.68,
奔驰,35.33,0.92,27.6,
比亚迪,29.08,1.77,17.98,
吉利汽车,13.72,1.5,9.08,
雪佛兰,11.49,5.2,4.28,
宝马,34.99,7,14.5,
领克,16.28,0.4,10.78,
奔驰,34.68,3.1,22.98,
雪佛兰,17.99,5.9,5.98,
奥迪,28.78,3.1,17.88,
奔腾,10.59,2.5,4.38,
奥迪,32.18,0.3,21.39,
比亚迪,7.19,1.54,4.18,
MINI,20.18,3.8,12.58,
大众,23.68,9,3,
奥迪,33.58,9,16.88,
大众,29.39,0.01,19.58,
奔驰,35.38,6,17.8,
英菲尼迪,47.98,0.1,32.98,
路虎,92.8,12.5,36.9,
奥迪,34.38,10.8,17.88,
别克,11.99,7.2,2.8,
五菱汽车,4.36,2.1,3,
沃尔沃,28.73,0.16,19.8,
奔驰,73.58,4.88,56.8,
smart,12.38,4.6,7,
欧拉,14.09,2.1,7.98,
丰田,15.88,5.8,8.98,
奥迪,85.88,3.8,55.68,
本田,17.98,3.8,12.38,
马自达,19.98,4.08,11.28,
宝马,93.8,5.3,56.8,
本田,16.59,11,7.38,
大众,16.58,2.7,10.8,
宝马,42.58,6.7,25.99,
大众,9.89,7.4,4.38,
奔驰,26.08,6.9,14.8,
吉利汽车,9.98,2.57,6.5,
启辰,8.98,8,2.88,
奥迪,79.08,5.9,44.9,
奔驰,195.8,9.9,14.38,
奔驰,42.9,12.1,19.2,
奥迪,22.33,4.8,14.58,
长安,4.39,9,0.88,
本田,26.68,11.3,11.98,
路虎,104.8,8,42.8,
奔驰,24.38,3.6,11.98,
蔚来,43.6,3.5,15.98,
大众,26.29,8.2,14,
奥迪,42.88,0.39,29.88,
日产,19.93,8.1,9.8,
比亚迪,5.19,3.2,1.48,
大众,25.29,0.01,17.65,
吉利汽车,9.18,4.3,5.68,
比亚迪,24.28,7.66,12.98,
日产,16.78,10.2,7.58,
奥迪,20.96,0.69,14.68,
长安,9.39,2.5,5.48,
奥迪,50.8,6.82,27.6,
奥迪,30.73,3.5,17.98,
沃尔沃,89.49,1,59.58,
Jeep,49.99,3.45,39.5,
宝马,42.58,6.4,24.88,
宝马,46.2,13,9.88,
长安,11.29,2.2,5.2,
长安,10.89,1.98,7.29,
宝马,46.39,6.31,27.3,
奔驰,51,0.08,34.28,
宝马,38.98,3.6,22.98,
奥迪,41.58,2.4,27.96,
丰田,21.98,0.07,16.68,
奥迪,23.27,4.6,9.98,
福特,26.98,6.4,17.1,
丰田,25.78,4.7,16.38,
别克,26.39,0.12,18.98,
大众,15.42,3.35,9.18,
宝马,46.69,8.4,27.79,
奥迪,25.39,9.1,8.8,
奥迪,50.8,1.1,34.6,
本田,13.99,6.9,7.78,
奔驰,39.57,1.75,26.88,
smart,12.38,4.2,6.88,
吉利汽车,9.99,3,5.98,
奔驰,59.08,1.5,37.8,
宝马,24.99,1,16.98,
福特,14.98,4.6,5.88,
现代,12.58,7,3.38,
大众,22.91,7.1,13.68,
奥迪,44.38,1.8,33.98,
奔驰,26.48,0.45,19.18,
宝马,30.98,1.15,19.88,
大众,22.68,12.1,2.38,
奥迪,88.1,10,12.88,
奔驰,35.68,5,22.88,
吉利汽车,7.18,6.4,1.36,
凯迪拉克,38.99,9,13.8,
奔驰,32.88,4.1,23.8,
阿维塔,34.99,1.47,24.58,
保时捷,55,8,24.98,
奥迪,28.78,5,17.88,
福特,19.28,6.5,7.18,
奥迪,46.88,1.76,32.9,
名爵,11.78,6.1,4.38,
奥迪,34.98,2.5,25.98,
大众,34.6,1.5,24.38,
丰田,20.88,6.8,12.98,
奔驰,32.52,0.78,26.98,
保时捷,92.3,7.9,53.6,
领克,14.68,4,9.8,
红旗,19.98,0.3,14.98,
宝马,50.39,4.8,39.8,
宝马,93.8,5,58.58,
日产,12.99,4.4,8.66,
宝马,32.19,0.23,26.78,
奥迪,41.98,4.64,29.68,
宝马,30.98,1.3,20.68,
奔驰,102.88,14.8,51.6,
大众,14.09,0.01,9.98,
宝马,34.53,4.1,23,
长安,11.29,1.8,5.66,
奥迪,56.98,3.5,42.88,
奥迪,41.58,1.47,29.6,
雷克萨斯,46.4,4.03,25.38,
奥迪,28.68,6.6,15.68,
宝马,68.39,5.2,42.98,
宝马,33.38,1.16,22.38,
奥迪,100.88,0.24,71.68,
本田,29.98,9.7,13.88,
宝马,31.39,4.3,20.98,
宾利,278,8.3,128.6,
特斯拉,29.18,5.6,19.6,
奥迪,41.98,2.3,29.98,
奔驰,49.6,2.2,31.28,
奥迪,41.58,5.4,27.99,
宝马,43.98,11.3,20.5,
路虎,62.8,10,8.58,
宝马,48.1,12,4.58,
标致,34.84,9.8,6.18,
路虎,160.8,6,88.88,
大众,29.29,0.42,20.98,
大众,32.59,0.28,24.68,
保时捷,54.5,1.8,39,
路虎,119.8,0.01,90.9,
保时捷,154.2,12,27.8,
力帆汽车,3.85,9.2,0.85,
凯迪拉克,34.99,7,13.5,
吉利汽车,17.98,7.2,6.98,
宝马,106.3,11,10.58,
奥迪,52.5,9,7.38,
奔驰,43.68,9.7,24.18,
欧拉,12.79,1.8,8.68,
福特,11.98,9,3.68,
奥迪,92.98,0.17,66.88,
雷克萨斯,29.8,7.4,20.3,
奥迪,63.88,0.01,48.8,
