品牌,新车价格,里程(万公里),价格
59.0,15.62,1.92,10.58
39.0,29.22,6.72,11.68
39.0,22.58,4.72,11.88
123.0,30.3,7.29,12.68
42.0,20.36,1.39,13.49
96.0,23.01,5.11,14.58
64.0,26.78,6.87,14.88
64.0,25.81,6.78,14.93
64.0,26.78,5.14,14.98
96.0,27.76,5.11,16.88
70.0,49.74,8.12,24.03
123.0,40.31,6.67,26.98
70.0,48.48,5.05,29.98
129.0,10.41,5.69,3.95
116.0,10.08,7.26,4.18
21.0,14.82,4.97,4.58
123.0,10.4,7.14,5.08
155.0,12.83,4.05,5.38
116.0,22.01,5.9,5.6
59.0,12.97,5.86,5.68
155.0,14.06,5.42,5.88
55.0,8.52,1.26,6.28
155.0,17.05,5.91,6.88
155.0,17.6,7.47,7.58
55.0,13.73,4.42,7.78
91.0,13.95,5.18,7.79
55.0,11.18,2.83,7.88
59.0,11.41,1.18,8.18
89.0,14.84,1.63,8.18
64.0,14.28,3.94,8.18
146.0,14.17,4.92,8.18
91.0,17.93,5.56,8.48
96.0,15.82,2.84,8.58
64.0,16.72,5.16,8.88
25.0,16.93,1.84,8.98
125.0,28.1,4.02,9.08
96.0,15.94,7.26,9.12
123.0,21.79,4.4,9.98
39.0,20.69,3.99,10.08
155.0,22.03,5.77,10.08
155.0,20.92,3.04,10.88
64.0,28.11,7.29,11.99
59.0,18.38,4.29,12.28
125.0,25.56,3.01,12.88
39.0,22.23,1.28,12.98
80.0,21.79,5.13,16.58
25.0,37.0,2.99,26.98
145.0,9.09,8.47,1.98
39.0,14.84,1.21,8.06
25.0,27.04,4.46,17.68
96.0,10.29,5.15,5.16
80.0,10.84,2.06,5.49
25.0,9.96,5.9,5.78
6.0,31.21,11.28,5.98
155.0,23.68,9.89,6.06
123.0,22.56,9.83,6.68
55.0,14.71,4.65,6.98
80.0,15.05,5.7,8.08
64.0,17.41,4.02,8.28
116.0,12.95,1.09,8.48
96.0,17.04,6.63,8.86
64.0,25.12,8.07,9.13
102.0,19.79,1.54,13.38
25.0,29.03,4.75,15.68
96.0,21.79,1.29,16.78
81.0,7.43,7.46,2.78
64.0,11.41,9.63,4.41
57.0,10.96,5.04,4.59
80.0,10.29,5.16,5.11
5.0,20.35,10.43,6.48
116.0,20.36,8.18,6.83
64.0,17.05,7.14,7.03
64.0,15.94,4.09,7.08
146.0,13.94,4.17,7.28
146.0,13.07,3.04,7.99
25.0,14.6,3.77,8.36
96.0,17.04,5.76,8.58
146.0,15.95,5.46,8.98
25.0,17.6,4.63,9.16
129.0,14.94,2.54,9.18
64.0,19.36,5.92,9.38
55.0,15.82,1.54,9.88
116.0,19.14,1.37,10.78
163.0,24.49,5.18,11.08
39.0,24.67,4.5,12.85
55.0,18.52,2.08,14.48
25.0,23.68,4.98,15.41
69.0,34.87,3.87,19.48
55.0,10.4,8.15,3.46
135.0,10.3,4.22,5.78
25.0,17.26,9.19,4.88
27.0,11.51,2.69,7.38
59.0,15.63,3.11,7.98
59.0,12.51,2.05,8.22
27.0,13.39,2.57,8.26
135.0,20.13,2.29,11.38
59.0,18.81,1.17,11.88
70.0,29.84,6.55,13.38
160.0,20.03,1.95,13.88
97.0,23.66,1.61,16.98
64.0,25.57,0.55,18.88
137.0,43.72,3.38,21.18
39.0,42.49,3.51,28.8
73.0,47.71,3.29,29.58
123.0,13.73,9.09,2.78
39.0,10.63,4.96,3.88
27.0,5.44,5.93,4.08
22.0,10.42,7.63,4.38
80.0,14.16,4.24,4.98
96.0,9.52,6.29,5.15
39.0,17.71,7.17,5.71
64.0,17.92,5.86,5.88
39.0,14.39,3.06,6.28
25.0,9.96,0.67,7.08
102.0,12.93,4.78,7.48
39.0,25.9,7.37,7.55
59.0,12.06,1.29,8.18
80.0,15.05,4.41,8.28
80.0,13.72,4.93,8.28
64.0,19.36,3.19,9.78
160.0,18.92,6.47,10.18
91.0,19.14,3.8,10.68
99.0,19.24,3.07,10.98
64.0,17.04,3.08,11.68
91.0,30.52,6.88,12.08
146.0,19.26,2.94,12.69
39.0,22.58,4.61,12.78
96.0,23.67,7.69,13.38
